Query ID,Query,Category
1,"Can I join a trade union at my workplace?",Right to Unionize and Collective Bargaining
2,"How do I start collective bargaining with my employer?",Right to Unionize and Collective Bargaining
3,"What protections do trade unions provide?",Right to Unionize and Collective Bargaining
4,"Are there laws governing union formation in my country?",Right to Unionize and Collective Bargaining
5,"What are the maximum working hours allowed per week?",Limitation on Working Hours
6,"Are there limits on daily working hours?",Limitation on Working Hours
7,"How many hours can I work overtime?",Limitation on Working Hours
8,"What is the standard workweek duration in the EU?",Limitation on Working Hours
9,"How can I report forced labor?",Protection from Forced Labor
10,"What are the signs of forced labor?",Protection from Forced Labor
11,"Are there international laws against forced labor?",Protection from Forced Labor
12,"What legal protections exist against forced labor?",Protection from Forced Labor
13,"What is the minimum age for employment in my country?",Protection from Child Labor
14,"Are there any exceptions to child labor laws?",Protection from Child Labor
15,"What types of work are allowed for minors?",Protection from Child Labor
16,"How can I report child labor violations?",Protection from Child Labor
17,"What is the minimum wage in my region?",Minimum Wage
18,"How is the minimum wage determined?",Minimum Wage
19,"Are there different minimum wage rates for different industries?",Minimum Wage
20,"Can union members participate in decision-making?",Right to Unionize and Collective Bargaining
21,"How can I find a trade union in my industry?",Right to Unionize and Collective Bargaining
22,"What role does a union representative play?",Right to Unionize and Collective Bargaining
23,"How do trade unions support workers during disputes?",Right to Unionize and Collective Bargaining
24,"What are the legal requirements for union formation?",Right to Unionize and Collective Bargaining
25,"What is the maximum number of working hours per day?",Limitation on Working Hours
26,"Can my employer require me to work overtime?",Limitation on Working Hours
27,"What are the regulations for rest breaks during work?",Limitation on Working Hours
28,"How is overtime pay calculated?",Limitation on Working Hours
29,"What steps can I take if I suspect forced labor?",Protection from Forced Labor
30,"Are there resources to help victims of forced labor?",Protection from Forced Labor
31,"What organizations work to prevent forced labor?",Protection from Forced Labor
32,"How can I verify if a company is compliant with anti-forced labor laws?",Protection from Forced Labor
33,"What are the age restrictions for hazardous work?",Protection from Child Labor
34,"Are there special regulations for working minors in different industries?",Protection from Child Labor
35,"What training is required for employers of minors?",Protection from Child Labor
36,"How can I ensure my workplace complies with child labor laws?",Protection from Child Labor
37,"What is the minimum wage for part-time workers?",Minimum Wage
38,"How often is the minimum wage updated?",Minimum Wage
39,"Can employees negotiate a higher wage than the minimum?",Minimum Wage
40,"Are there minimum wage laws for freelance workers?",Minimum Wage
41,"How can I appeal if my trade union application is denied?",Right to Unionize and Collective Bargaining
42,"What benefits do trade unions offer to their members?",Right to Unionize and Collective Bargaining
43,"Can employers interfere with union activities?",Right to Unionize and Collective Bargaining
44,"How do trade unions affect workplace safety?",Right to Unionize and Collective Bargaining
45,"What are the limits on weekly working hours in my industry?",Limitation on Working Hours
46,"How are rest periods regulated?",Limitation on Working Hours
47,"What constitutes excessive overtime?",Limitation on Working Hours
48,"How does the EU standard workweek compare to other regions?",Limitation on Working Hours
49,"What legal actions can be taken against forced labor?",Protection from Forced Labor
50,"How can businesses ensure they are not involved in forced labor?",Protection from Forced Labor
51,"Are there specific sectors more prone to forced labor?",Protection from Forced Labor
52,"What role do governments play in combating forced labor?",Protection from Forced Labor
53,"What are the child labor regulations for agricultural work?",Protection from Child Labor
54,"Can minors work in family businesses?",Protection from Child Labor
